X_mean,X_variance,X_skewness,Y_mean,Y_variance,Y_skewness,Z_mean,Z_variance,Z_skewness
0.0,0.149451,-0.37895,0.765449,0.846281,0.452039,0.876119,0.636517,0.910732
0.0,0.479834,0.358554,0.383209,0.550596,0.731574,0.617536,0.457263,0.665409
0.0,0.285433,0.778442,0.385519,0.547852,-0.520813,0.598613,0.318106,0.0638308
0.0,0.920939,-0.44169,0.889954,0.570223,0.245413,1.04228,0.462347,0.294267
0.0,0.402335,0.798281,0.155195,0.751158,0.188215,0.508975,0.479632,0.532706
0.0,0.00629304,0.944029,0.295329,0.588898,0.199312,0.473226,0.315859,1.26101
0.0,0.811039,0.415038,0.394324,0.321922,0.627942,0.652178,0.39733,0.731894
0.0,0.892293,0.666804,0.992602,0.546284,0.795586,1.13624,0.556239,0.723996
0.0,0.178866,-0.791444,0.543068,0.103659,0.975959,0.569843,0.0944633,0.987048
0.0,0.868869,0.107441,0.632202,0.335904,-0.835916,0.83095,0.304481,-0.09921
0.0,0.972055,0.423506,0.126356,0.542275,-0.0577601,0.557117,0.556522,0.483317
0.0,0.618929,-0.511458,0.358897,0.0133153,-0.636823,0.514517,0.0878218,1.70724
0.0,0.0336684,-0.431058,0.630951,0.013214,-0.157999,0.63099,0.0131939,-0.153519
0.0,0.541119,0.503852,0.293581,0.393616,-0.38393,0.555486,0.323365,0.211786
0.0,0.426597,0.845346,0.281663,0.299173,0.151511,0.503461,0.292603,0.479974
0.0,0.1797,-0.077396,0.633318,0.943073,0.324221,0.802248,0.635102,0.886542
0.0,0.317451,0.924231,0.0157375,0.469507,0.534256,0.356845,0.351012,0.657821
0.0,0.309147,-0.63345,0.113002,0.516124,-0.772007,0.418877,0.209061,-0.445415
0.0,0.87917,-0.350879,0.774005,0.100778,0.977183,0.882714,0.142234,0.988642
0.0,0.32686,-0.0432385,0.277025,0.822938,-0.549112,0.584556,0.377315,0.0744537
0.0,0.702036,0.943493,0.0842598,0.523357,-0.62683,0.488026,0.463214,0.524223
0.0,0.834491,0.202226,0.628565,0.847905,-0.551602,0.9004,0.558599,-0.139493
0.0,0.111689,-0.291925,0.122916,0.378991,-0.622922,0.346599,0.147906,0.127389
0.0,0.702514,-0.185351,0.582601,0.803111,-0.908862,0.843141,0.436613,-0.54445
0.0,0.202123,-0.730553,0.785848,0.984566,-0.730072,0.955632,0.535077,0.0624258
0.0,0.232259,-0.818308,0.451562,0.104195,-0.676504,0.514217,0.071977,-0.541008
0.0,0.463054,0.779089,0.515138,0.832628,-0.638442,0.772221,0.482187,-0.0442521
0.0,0.910097,-0.665883,0.903299,0.878768,0.235144,1.08508,0.64705,0.414266
0.0,0.621873,-0.094668,0.61217,0.337256,0.15623,0.767771,0.291682,0.210743
0.0,0.218748,-0.52216,0.658441,0.523617,0.693533,0.749709,0.418504,0.947447
0.0,0.0279417,-0.579922,0.068327,0.603696,-0.343566,0.352287,0.205848,1.08546
0.0,0.48369,0.312571,0.368525,0.76726,0.130879,0.653931,0.508758,0.398104
0.0,0.869255,-0.324083,0.550604,0.441466,-0.3838,0.778916,0.342093,-0.15356
0.0,0.793088,0.555275,0.186036,0.83472,-0.507033,0.610983,0.558517,0.172462
0.0,0.882673,0.217322,0.745581,0.525319,0.212573,0.938541,0.474828,0.316533
0.0,0.0453874,0.0508489,0.446351,0.406396,0.717117,0.529869,0.308751,1.15057
0.0,0.443547,0.317538,0.309926,0.91204,-0.970995,0.64676,0.394948,-0.368127
0.0,0.0821219,-0.104574,0.251634,0.998047,0.379669,0.544536,0.519769,1.33063
0.0,0.252319,-0.666183,0.540058,0.0527884,0.00575729,0.575372,0.047988,0.0292058
0.0,0.247736,-0.408633,0.490085,0.875915,-0.367202,0.717171,0.456336,0.361342
0.0,0.9818,-0.0577876,0.0376413,0.312815,-0.866495,0.472137,0.393598,0.456743
0.0,0.149843,0.600798,0.379467,0.685756,0.0259203,0.585786,0.394223,0.681788
0.0,0.833253,-0.854239,0.301986,0.475229,-0.255475,0.610739,0.309172,-0.343981
0.0,0.698367,0.283679,0.263281,0.968834,-0.88421,0.664116,0.489313,-0.257991
0.0,0.730049,0.470417,0.0256692,0.125256,0.692605,0.379773,0.344394,1.25034
0.0,0.382207,-0.612999,0.0290675,0.119782,0.821345,0.295444,0.144807,0.278969
0.0,0.929278,-0.228385,0.424674,0.0643821,0.817412,0.638654,0.192517,1.38872
0.0,0.180693,0.361651,0.0968111,0.582,-0.406136,0.399792,0.250589,0.332215
0.0,0.387439,-0.372008,0.161107,0.642709,-0.688726,0.489898,0.285361,-0.276748
0.0,0.0634626,-0.712024,0.477127,0.713786,0.130555,0.636492,0.430417,0.929275
0.0,0.623431,0.939137,0.996438,0.728052,0.385346,1.12914,0.643792,0.465601
0.0,0.00391979,0.492209,0.365606,0.87156,-0.183475,0.587591,0.417399,1.01271
0.0,0.111582,0.34522,0.0354567,0.317949,-0.179175,0.279505,0.147292,0.424262
0.0,0.464913,-0.622144,0.93715,0.052218,0.832322,0.954115,0.0527454,0.778851
0.0,0.518744,-0.586619,0.662977,0.651231,0.854261,0.819046,0.519562,0.908862
0.0,0.748727,0.379859,0.499941,0.471431,0.228525,0.737628,0.438172,0.389939
0.0,0.181144,0.861984,0.282813,0.762571,0.871349,0.528045,0.524467,1.15778
0.0,0.152882,0.474929,0.215729,0.173736,-0.474577,0.356071,0.114749,0.0200233
